"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"N2830","Mobile",2,107,2014,2.16,1,7.5,8
"N2840","Mobile",2,107,2014,2.16,1,7.5,8
"N2910","Mobile",4,NA,2013,1.6,2,7.5,8.79
"N2920","Mobile",4,NA,2013,1.86,2,7.5,8
"N2930","Mobile",4,107,2014,1.83,2,7.5,8
"N2940","Mobile",4,107,2014,1.83,2,7.5,8
"N3450","Mobile",4,107,2016,1.1,2,6,8
"N3350","Mobile",2,107,2016,1.1,2,6,8
"N3160","Mobile",4,107,2016,1.6,2,6,8
"N3150","Mobile",4,107,2015,1.6,2,6,8
"N3060","Mobile",2,107,2016,1.6,2,6,8
"N3050","Mobile",2,107,2015,1.6,2,6,8
"N3010","Mobile",2,107,2016,1.04,2,4,8
"N3000","Mobile",2,107,2015,1.04,2,4,8
"3215U","Mobile",2,107,2015,1.7,2,15,16
"3755U","Mobile",2,107,2015,1.7,2,15,16
"3765U","Mobile",2,107,2015,1.9,2,15,16
"3855U","Mobile",2,107,2015,1.6,2,15,32
"3955U","Mobile",2,107,2015,2,2,15,32
"3865U","Mobile",2,107,2017,1.8,2,15,32
"3965Y","Mobile",2,NA,2017,1.5,2,6,16
"3965U","Mobile",2,107,2017,2.2,2,15,32
"i5-7Y54","Mobile",2,281,2016,3.2,4,4.5,16
"i5-7200U","Mobile",2,281,2016,3.1,3,15,32
"i5-7260U","Mobile",2,304,2017,3.4,4,15,32
"i5-7267U","Mobile",2,NA,2017,3.5,4,28,32
"i5-7287U","Mobile",2,NA,2017,3.7,4,28,32
"i5-7300HQ","Mobile",4,250,2017,3.5,6,45,64
"i5-7300U","Mobile",2,281,2017,3.5,3,15,32
"i5-7360U","Mobile",2,304,2017,3.6,4,15,32
"i5-7400","Desktop",4,182,2017,3.5,6,65,64
"i5-7400T","Desktop",4,NA,2017,3,6,35,64
"i5-7440EQ","Embedded",4,250,2017,3.6,6,45,64
"i5-7440HQ","Mobile",4,NA,2017,3.8,6,45,64
"i5-7442EQ","Embedded",4,250,2017,2.9,6,25,64
"i5-7500T","Desktop",4,NA,2017,3.3,6,35,64
"i5-7500","Desktop",4,NA,2017,3.8,6,65,64
"i5-7600","Desktop",4,NA,2017,4.1,6,65,64
"i5-7600T","Desktop",4,NA,2017,3.7,6,35,64
"i5-7600K","Desktop",4,NA,2017,4.2,6,91,64
"i7-3920XM","Mobile",4,1096,2012,3.8,8,55,32
"i7-3930K","Desktop",6,594,2011,3.8,12,130,64.23
"i7-3940XM","Mobile",4,1096,2012,3.9,8,55,32
"i7-3960X","Desktop",6,1059,2011,3.9,15,130,64
"i7-3970X","Desktop",6,1059,2012,4,15,150,64.45
"i7-4820K","Desktop",4,332,2013,3.9,10,130,64
"i7-4930MX","Mobile",4,NA,2013,3.9,8,57,32
"i7-4930K","Desktop",6,594,2013,3.9,12,130,64
"i7-4940MX","Mobile",4,NA,2014,4,8,57,32
"i7-4960X","Desktop",6,1059,2013,4,15,130,64
"i7-5820K","Desktop",6,NA,2014,3.6,15,140,64
"i7-5930K","Desktop",6,NA,2014,3.7,15,140,64
"i7-5960X","Desktop",8,NA,2014,3.5,20,140,64
"i7-6800K","Desktop",6,NA,2016,3.6,15,140,128
"i7-6850K","Desktop",6,NA,2016,3.8,15,140,128
"i7-6900K","Desktop",8,NA,2016,3.7,20,140,128
"i7-6950X","Desktop",10,NA,2016,3.5,25,140,128
"i5-7640X","Desktop",4,NA,2017,4.2,6,112,64
"i7-7740X","Desktop",4,NA,2017,4.5,8,112,64
"i7-7800X","Desktop",6,NA,2017,4,8.25,140,128
"i9-7900X","Desktop",10,NA,2017,4.3,13.75,140,128
"i7-7820X","Desktop",8,NA,2017,4.3,11,140,128
"i9-7920X","Desktop",12,NA,2017,4.3,16.5,140,128
"i9-7940X","Desktop",14,NA,2017,4.3,19.25,165,128
"i9-7960X","Desktop",16,NA,2017,4.2,22,165,128
"i9-7980XE","Desktop",18,NA,2017,4.2,24.75,165,128
