"Processor_Number","Vertical_Segment","nb_of_Cores","nb_of_Threads","Max_nb_of_Memory_Channels","PCI_Express_Revision","Max_nb_of_PCI_Express_Lanes","Price_USD","Launch_Year","Lithography_nm","Base_Frequency_GHz","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Memory_Bandwidth_GBs"
"515","Desktop",1,1,2,3,16,37,2005,90,2.93,2.93,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,2.66,2.66,1,89,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.7,1.7,256,64,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.7,0.7,256,23,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,3.2,3.2,512,76,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.3,2.3,512,35,16,25.6
"B960","Mobile",2,2,2,2,1,275,2011,32,2.2,2.2,2,35,16,21.3
"957","Mobile",2,2,2,2,1,275,2011,32,1.2,1.2,2,17,8.01,21.3
"T4500","Mobile",2,2,2,3,12,275,2010,45,2.3,2.3,1,35,16,17.1
"E6600","Desktop",2,2,2,3,16,75,2010,45,3.06,3.06,2,65,32,21
"E5500","Desktop",2,2,2,3,16,72,2010,45,2.8,2.8,2,65,32,21
"T2330","Mobile",2,2,2,3,12,275,2007,65,1.6,1.6,1,35,16,25.6
"","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,89,32,25.6
"935","Desktop",2,2,2,3,16,84,2007,65,3.2,3.2,4,95,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.5,0.5,256,13.2,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,1.4,1.4,256,31.2,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,89,32,25.6
"650","Desktop",1,1,2,3,16,37,2005,90,3.4,3.4,2,84,32,25.6
"511","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.53,2.53,512,61.5,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,1.6,1.6,512,38,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.65,0.65,256,21.5,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.26,1.26,512,22,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,3.06,3.06,512,70,16,25.6
"552","Mobile",1,1,2,3,12,64,2004,90,3.46,3.46,1,88,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.4,2.4,512,35,16,25.6
"G645","Desktop",2,2,2,2,16,64,2012,32,2.9,2.9,3,65,32,17
"B970","Mobile",2,2,2,2,1,275,2012,32,2.3,2.3,2,35,16,21.3
"967","Mobile",2,2,2,2,1,275,2011,32,1.3,1.3,2,17,16,21.3
"P6300","Mobile",2,2,2,2,1,275,2011,32,2.27,2.27,3,35,8,17.1
"G6960","Desktop",2,2,2,2,16,75,2011,32,2.93,2.93,3,73,16.38,17
"E6500K","Desktop",2,2,2,3,16,75,2009,45,2.93,2.93,2,65,32,23.3
"E2200","Desktop",2,2,2,3,16,75,2007,65,2.2,2.2,1,65,32,25.6
"T2310","Mobile",2,2,2,3,12,275,2007,65,1.46,1.46,1,35,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.5,1.5,1,24.5,16,25.6
"","Desktop",1,1,2,3,16,37,2099,250,0.45,0.45,512,25.3,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,89,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,1.33,1.33,256,29.9,32,25.6
