"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"i7-4770HQ","Mobile",4,434,2014,3.4,6,47,32
"i7-4760HQ","Mobile",4,434,2014,3.3,6,47,32
"i7-4750HQ","Mobile",4,434,2013,3.2,6,47,32
"i7-4722HQ","Mobile",4,378,2015,3.4,6,37,32
"i7-4720HQ","Mobile",4,378,2015,3.6,6,47,32
"i7-4712MQ","Mobile",4,378,2014,3.3,6,37,32
"i7-4712HQ","Mobile",4,378,2014,3.3,6,37,32
"i7-4710MQ","Mobile",4,378,2014,3.5,6,47,32
"i7-4710HQ","Mobile",4,378,2014,3.5,6,47,32
"i7-4702MQ","Mobile",4,378,2013,3.2,6,37,32
"i7-4702EC","Embedded",4,459,2014,2,8,27,32
"i7-4700HQ","Mobile",4,378,2013,3.4,6,47,32
"i7-4700MQ","Mobile",4,378,2013,3.4,6,47,32
"i7-4700EQ","Embedded",4,378,2013,3.4,6,47,32
"i7-4700EC","Embedded",4,459,2014,2.7,8,43,32
"i7-4870HQ","Mobile",4,434,2014,3.7,6,47,32
"i7-4860HQ","Mobile",4,434,2014,3.6,6,47,32
"i7-4850HQ","Mobile",4,434,2013,3.5,6,47,32
"i7-4810MQ","Mobile",4,378,2014,3.8,6,47,32
"i7-4800MQ","Mobile",4,380,2013,3.7,6,47,32
"i7-4980HQ","Mobile",4,623,2014,4,6,47,32
"i7-4960HQ","Mobile",4,623,2013,3.8,6,47,32
